"GEOID","POPTOTAL","HHTOTAL","AGEUNDER18","AGE18_39","AGE40_64","AGE65UP"
"27001770100",2245,1087,343,324,876,702
"27001770200",2166,1095,403,362,847,554
"27001770300",3466,1580,783,873,972,838
"27001770400",3021,1548,452,570,1128,871
"27001790501",1810,861,314,221,654,621
"27001790502",3014,1469,412,338,1130,1134
"27003050107",2811,1027,739,939,842,291
"27003050108",5070,1728,1364,1784,1588,334
"27003050109",5264,1739,1324,1547,1908,485
"27003050110",2634,943,558,714,1143,219
"27003050111",3720,1338,887,977,1458,398
"27003050114",2805,1009,662,599,1138,406
"27003050115",5529,1851,1421,1300,2275,533
"27003050116",4562,1495,1189,999,1916,458
"27003050208",3327,1118,834,929,1289,275
"27003050210",3980,1542,730,904,1732,614
"27003050215",4288,1453,1060,1020,1497,711
"27003050216",5692,1840,1548,1220,2300,624
"27003050217",3027,929,769,859,1131,268
"27003050218",3159,1101,697,727,1312,423
"27003050219",2883,1059,665,637,1193,388
"27003050220",6777,2251,1982,1559,2593,643
"27003050221",7221,2163,2403,1630,2594,594
"27003050222",5512,1687,1650,1226,2274,362
"27003050223",2952,941,592,807,1233,320
"27003050224",3087,1010,733,890,1169,295
"27003050225",6548,2120,1858,1913,2207,570
"27003050226",3068,1065,754,883,1156,275
"27003050227",4581,1563,1265,1457,1475,384
"27003050228",5093,1845,1430,1710,1554,399
"27003050229",5419,1548,1229,1710,2140,340
"27003050230",2326,717,736,473,980,137
"27003050232",3907,1296,1173,960,1445,329
"27003050233",3205,1145,799,781,1405,220
"27003050234",3080,1023,692,835,1230,323
"27003050235",2818,1068,680,742,1048,348
"27003050236",4293,1352,1239,829,1989,236
"27003050237",5515,1937,1590,1252,2179,494
"27003050401",2664,1061,604,704,1019,337
"27003050402",3550,1649,695,1012,1099,744
"27003050501",3480,1497,643,1137,986,714
"27003050504",2621,1153,580,682,960,399
"27003050505",5010,1834,1087,1344,1836,743
"27003050602",2583,913,599,891,755,338
"27003050605",5931,2165,1562,2068,1479,822
"27003050606",1897,823,407,462,680,348
"27003050607",4640,1749,1179,1365,1481,615
"27003050608",4668,2011,1014,1623,1611,420
"27003050609",3325,1346,681,854,1262,528
"27003050610",6642,2539,1424,2255,2086,877
"27003050702",3073,1189,551,887,1205,430
"27003050704",4632,1804,971,1161,1636,864
"27003050706",3351,1290,893,1126,934,398
"27003050707",6380,2155,1606,1493,2249,1032
"27003050709",2350,1089,326,624,984,416
"27003050710",3562,1412,790,904,1317,551
"27003050711",4843,1741,936,1511,1826,570
"27003050712",4282,1705,985,1327,1402,568
"27003050805",6809,2348,1854,2045,2230,680
"27003050806",6497,2354,1704,2245,1950,598
"27003050807",3261,1324,600,1010,1171,480
"27003050808",2113,855,433,576,721,383
"27003050809",6161,2168,1597,1665,2344,555
"27003050810",4021,1825,771,1089,1540,621
"27003050811",2728,1159,530,722,953,523
"27003050813",6955,2419,1893,1873,2624,565
"27003050816",5008,1794,1372,1190,1918,528
"27003050818",5447,1954,1599,1652,1772,424
"27003050819",4258,1460,1278,1009,1495,476
"27003050820",3195,1094,947,902,1044,302
"27003050821",4757,1861,1442,1279,1553,483
"27003050901",1965,752,517,568,717,163
"27003050902",4947,1994,1106,1287,1839,715
"27003051001",2739,1171,525,718,1016,480
"27003051002",3532,1452,789,785,1322,636
"27003051101",4710,2107,1131,1395,1487,697
"27003051102",4758,1642,1278,1363,1406,711
"27003051103",3239,1223,782,1156,940,361
"27003051201",3515,1547,874,1344,969,328
"27003051202",3149,1331,612,1032,1049,456
"27003051203",5648,2196,1111,1828,1754,955
"27003051206",2428,979,425,901,792,310
"27003051302",3888,1537,653,1339,1126,770
"27003051304",2342,983,481,777,787,297
"27003051305",3001,1231,664,983,1013,341
"27003051400",5161,2042,1294,1914,1507,446
"27003051501",3143,1286,853,722,1119,449
"27003051502",2953,1246,483,1049,861,560
"27003051600",5284,1898,1203,1150,2246,685
"27005450100",2872,1063,848,594,941,489
"27005450200",2406,857,707,464,811,424
"27005450300",5120,1935,1253,1209,1786,872
"27005450400",2476,995,503,507,977,489
"27005450500",4344,1850,1088,1528,1047,681
"27005450600",3644,1728,754,912,1020,958
"27005450700",3342,1426,696,653,1194,799
"27005450800",2303,912,538,498,851,416
"27005450900",3040,1282,639,548,1178,675
"27005940000",3828,1447,1170,784,1287,587
"27007450100",6400,2366,1642,1772,2103,883
"27007450200",6847,2875,1543,1746,2057,1501
"27007450300",4322,1701,969,844,1735,774
"27007450400",2874,1124,712,628,963,571
